PROFILING REPORT - SORTED BY TOTTIME
================================================================================

         6381143 function calls (6254737 primitive calls) in 7.742 seconds

   Ordered by: internal time
   List reduced from 7095 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      329    0.008    0.000    0.008    0.000 {built-in method builtins.compile}
    74632    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
      545    0.008    0.000    0.009    0.000 /opt/Python-3.14.0/lib/python3.14/re/_compiler.py:248(_optimize_charset)
    77835    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
15219/12159    0.007    0.000    0.224    0.000 {method 'send' of 'generator' objects}
     6257    0.007    0.000    0.011    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/nodes.py:346(iter_markers_with_node)
38811/11898    0.007    0.000    0.007    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/mark/structures.py:650(__iter__)
28730/28700    0.007    0.000    0.007    0.000 {built-in method builtins.setattr}
      379    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      741    0.006    0.000    0.056    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:1107(divide)
     5716    0.006    0.000    0.008    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
      608    0.006    0.000    0.027    0.000 /opt/Python-3.14.0/lib/python3.14/doctest.py:1115(_find_lineno)
     6116    0.006    0.000    0.022    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pluggy/_callers.py:25(run_old_style_hookwrapper)
    67292    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
     2754    0.006    0.000    0.018    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/logging.py:812(_runtest_for)
31332/31207    0.006    0.000    0.013    0.000 {built-in method builtins.hasattr}
     1243    0.006    0.000    0.019    0.000 /opt/Python-3.14.0/lib/python3.14/inspect.py:2297(_signature_from_function)
16569/4072    0.005    0.000    0.853    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/console.py:1300(render)
 1805/339    0.005    0.000    0.017    0.000 /opt/Python-3.14.0/lib/python3.14/re/_compiler.py:39(_compile)
      511    0.005    0.000    0.005    0.000 /opt/Python-3.14.0/lib/python3.14/unittest/mock.py:445(__new__)
     6307    0.005    0.000    0.008    0.000 /opt/Python-3.14.0/lib/python3.14/pathlib/__init__.py:135(__init__)
    33225    0.005    0.000    0.008    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:402(plain)
     3988    0.005    0.000    0.005    0.000 /opt/Python-3.14.0/lib/python3.14/json/encoder.py:205(iterencode)
19398/18759    0.005    0.000    0.010    0.000 {method 'join' of 'str' objects}
 11179/70    0.005    0.000    6.679    0.095 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pluggy/_manager.py:111(_hookexec)
     5532    0.005    0.000    0.028    0.000 /opt/Python-3.14.0/lib/python3.14/pathlib/__init__.py:251(__str__)
1914/1122    0.005    0.000    0.058    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/fixtures.py:556(_get_active_fixturedef)
     1377    0.005    0.000    0.014    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/reports.py:383(from_item_and_call)
1378/1377    0.005    0.000    9.579    0.007 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:231(call_and_report)
    15737    0.005    0.000    0.007    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/cells.py:51(cell_len)
     1377    0.005    0.000    0.028    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/terminal.py:631(pytest_runtest_logreport)
1322/1245    0.004    0.000    0.027    0.000 /opt/Python-3.14.0/lib/python3.14/inspect.py:2403(_signature_from_callable)
    50309    0.004    0.000    0.004    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/nodes.py:294(iter_parents)
     4095    0.004    0.000    0.013    0.000 /opt/Python-3.14.0/lib/python3.14/inspect.py:285(_has_code_flag)
       19    0.004    0.000    0.006    0.000 /opt/Python-3.14.0/lib/python3.14/typing.py:2951(__new__)
      428    0.004    0.000    0.008    0.000 /opt/Python-3.14.0/lib/python3.14/importlib/metadata/__init__.py:334(__new__)
2735/1719    0.004    0.000    0.803    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/segment.py:278(split_and_crop_lines)
      708    0.004    0.000    0.032    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_log_rich/application/use_cases/_payload_sanitizer.py:171(_sanitize_mapping)
     4763    0.004    0.000    0.007    0.000 /opt/Python-3.14.0/lib/python3.14/pathlib/__init__.py:281(_parse_path)
     2579    0.004    0.000    0.012    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:720(render)
     5898    0.004    0.000    0.018    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:719(gethookproxy)
     6013    0.004    0.000    0.012    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/config/__init__.py:686(_getconftestmodules)
      283    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
     7426    0.004    0.000    0.010    0.000 /opt/Python-3.14.0/lib/python3.14/pathlib/__init__.py:217(__eq__)
      625    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      196    0.004    0.000    0.006    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_log_rich/adapters/structured/journald.py:123(_encode_journal_fields)
14164/6193    0.004    0.000    1.092    0.000 {method 'extend' of 'list' objects}
        3    0.004    0.001    0.004    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     3957    0.004    0.000    0.013    0.000 /opt/Python-3.14.0/lib/python3.14/json/__init__.py:183(dumps)
1518/1516    0.003    0.000    9.639    0.006 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:332(from_call)
     1886    0.003    0.000    0.052    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/containers.py:69(__init__)
21142/21139    0.003    0.000    0.004    0.000 {method 'encode' of 'str' objects}
      489    0.003    0.000    0.030    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:1202(wrap)
     3957    0.003    0.000    0.009    0.000 /opt/Python-3.14.0/lib/python3.14/json/encoder.py:183(encode)
    25041    0.003    0.000    0.005    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:1092(flatten_spans)
     1701    0.003    0.000    0.008    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     2754    0.003    0.000    0.062    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/capture.py:857(item_capture)
    12720    0.003    0.000    0.007    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:1098(<genexpr>)
     2814    0.003    0.000    0.024    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/capture.py:589(snap)
      542    0.003    0.000    0.006    0.000 /opt/Python-3.14.0/lib/python3.14/logging/__init__.py:298(__init__)
      865    0.003    0.000    0.044    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/python.py:1619(__init__)
     2902    0.003    0.000    0.003    0.000 {method 'truncate' of '_io.TextIOWrapper' objects}


