PROFILING REPORT - SORTED BY CUMULATIVE
================================================================================

         6381143 function calls (6254737 primitive calls) in 7.742 seconds

   Ordered by: cumulative time
   List reduced from 7095 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.774    0.194 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:565(run_cli)
        4    0.000    0.000    0.773    0.193 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:640(_run_command_with_handler)
        2    0.000    0.000    0.770    0.385 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:204(print_exception_message)
        2    0.000    0.000    0.770    0.385 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:269(_render_exception_view)
        2    0.000    0.000    0.770    0.385 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:289(_render_traceback)
     1654    0.000    0.000    0.760    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/constrain.py:22(__rich_console__)
       32    0.000    0.000    0.750    0.023 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/syntax.py:640(__rich_console__)
       16    0.000    0.000    0.750    0.047 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/segment.py:680(__init__)
      818    0.002    0.000    0.749    0.001 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/syntax.py:649(_get_syntax)
97456/90575    0.020    0.000    0.745    0.000 {built-in method builtins.next}
       16    0.000    0.000    0.641    0.040 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/syntax.py:467(highlight)
   499/75    0.023    0.000    0.626    0.008 {built-in method builtins.exec}
    72764    0.021    0.000    0.623    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/syntax.py:514(tokens_to_spans)
       16    0.029    0.002    0.605    0.038 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/text.py:1031(append_tokens)
    72748    0.022    0.000    0.536    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich/syntax.py:505(line_tokenize)
    68934    0.012    0.000    0.505    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pygments/lexer.py:269(streamer)
        1    0.498    0.498    0.498    0.498 {built-in method time.sleep}
        1    0.000    0.000    0.496    0.496 /media/srv-main-softdev/projects/tools/check_zpools/tests/test_daemon.py:748(test_loop_continues_after_transient_errors)
        1    0.000    0.000    0.495    0.495 /media/srv-main-softdev/projects/tools/check_zpools/tests/test_daemon.py:729(test_loop_executes_at_least_one_check_cycle)
    68938    0.206    0.000    0.493    0.000 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/pygments/lexer.py:700(get_tokens_unprocessed)
        5    0.000    0.000    0.427    0.085 /media/srv-main-softdev/projects/tools/check_zpools/src/check_zpools/cli.py:579(main)
    56/30    0.001    0.000    0.424    0.014 {method 'run' of '_contextvars.Context' objects}
        5    0.000    0.000    0.419    0.084 /media/srv-main-softdev/projects/tools/check_zpools/src/check_zpools/cli.py:334(_run_cli_via_exit_tools)
        5    0.000    0.000    0.419    0.084 /media/srv-main-softdev/projects/tools/check_zpools/src/check_zpools/cli.py:213(_invoke_cli)
        1    0.000    0.000    0.408    0.408 /media/srv-main-softdev/projects/tools/check_zpools/tests/test_cli.py:226(test_when_traceback_flag_is_passed_the_full_story_is_printed)
        1    0.000    0.000    0.405    0.405 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:622(_handler)
        1    0.000    0.000    0.405    0.405 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:320(handle_cli_exception)
        1    0.000    0.000    0.405    0.405 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:352(_resolve_exit_code)
        1    0.000    0.000    0.405    0.405 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:437(_render_and_translate)
        3    0.000    0.000    0.373    0.124 <frozen runpy>:201(run_module)
        4    0.000    0.000    0.372    0.093 <frozen runpy>:65(_run_code)
        1    0.000    0.000    0.368    0.368 /media/srv-main-softdev/projects/tools/check_zpools/tests/test_module_entry.py:139(test_when_traceback_flag_is_used_via_module_entry_the_full_poem_is_printed)
        3    0.000    0.000    0.366    0.122 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:504(_run)
        2    0.000    0.000    0.365    0.182 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/lib_cli_exit_tools/application/runner.py:556(_handler)
  649/298    0.001    0.000    0.282    0.001 <frozen importlib._bootstrap>:1360(_find_and_load)
   395/45    0.001    0.000    0.280    0.006 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
  2237093    0.278    0.000    0.278    0.000 {method 'match' of 're.Pattern' objects}
   385/46    0.001    0.000    0.275    0.006 <frozen importlib._bootstrap>:914(_load_unlocked)
    93/20    0.001    0.000    0.252    0.013 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/assertion/rewrite.py:157(exec_module)
        1    0.000    0.000    0.249    0.249 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:381(pytest_collection)
        1    0.000    0.000    0.249    0.249 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:777(perform_collect)
   822/71    0.000    0.000    0.246    0.003 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
  140/139    0.000    0.000    0.236    0.002 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:573(collect_one_node)
      139    0.000    0.000    0.236    0.002 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:874(_collect_one_node)
 2377/460    0.001    0.000    0.236    0.001 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/main.py:1011(genitems)
  140/139    0.000    0.000    0.233    0.002 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:380(pytest_make_collect_report)
  140/139    0.000    0.000    0.231    0.002 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/runner.py:381(collect)
15219/12159    0.007    0.000    0.224    0.000 {method 'send' of 'generator' objects}
   267/83    0.000    0.000    0.219    0.003 {built-in method builtins.__import__}
       24    0.000    0.000    0.214    0.009 /media/srv-main-softdev/projects/tools/check_zpools/src/check_zpools/mail.py:169(send_email)
       24    0.000    0.000    0.201    0.008 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/btx_lib_mail/lib_mail.py:143(send)
       27    0.000    0.000    0.200    0.007 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/btx_lib_mail/lib_mail.py:289(_deliver_to_any_host)
       28    0.000    0.000    0.185    0.007 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/btx_lib_mail/lib_mail.py:353(_deliver_via_host)
  275/272    0.000    0.000    0.169    0.001 /opt/Python-3.14.0/lib/python3.14/importlib/__init__.py:71(import_module)
  277/272    0.000    0.000    0.169    0.001 <frozen importlib._bootstrap>:1386(_gcd_import)
  374/194    0.000    0.000    0.167    0.001 <frozen importlib._bootstrap>:1401(_handle_fromlist)
   277/37    0.000    0.000    0.156    0.004 <frozen importlib._bootstrap_external>:756(exec_module)
       30    0.000    0.000    0.146    0.005 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/pathlib.py:489(import_path)
        1    0.000    0.000    0.132    0.132 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/config/__init__.py:337(_prepareconfig)
       23    0.000    0.000    0.130    0.006 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/doctest.py:501(collect)
      541    0.001    0.000    0.129    0.000 /opt/Python-3.14.0/lib/python3.14/logging/__init__.py:1641(_log)
      541    0.000    0.000    0.118    0.000 /opt/Python-3.14.0/lib/python3.14/logging/__init__.py:1667(handle)
      541    0.002    0.000    0.116    0.000 /opt/Python-3.14.0/lib/python3.14/logging/__init__.py:1721(callHandlers)
        1    0.000    0.000    0.115    0.115 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/config/__init__.py:1151(pytest_cmdline_parse)
        1    0.000    0.000    0.115    0.115 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/_pytest/config/__init__.py:1445(parse)
       34    0.000    0.000    0.112    0.003 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/rich_click/rich_command.py:178(main)
       30    0.000    0.000    0.111    0.004 /home/srvadmin/venvs/pycharm314/lib/python3.14/site-packages/click/testing.py:423(invoke)


