FILE,FUNCTION,LINE,LINES,COMPLEXITY
behaviors.py,_flush_if_possible,67,6,2
cli.py,cli_info,455,6,2
cli.py,cli_hello,464,6,2
cli.py,cli_fail,473,6,2
models.py,__le__,185,5,2
models.py,__gt__,191,5,2
models.py,__ge__,197,5,2
config_deploy.py,deploy_configuration,31,77,1
mail.py,send_notification,290,62,1
config.py,get_config,67,56,1
mail.py,load_email_config_from_dict,436,52,1
cli.py,main,579,44,1
alerting.py,_format_body,260,42,1
zfs_parser.py,_parse_pool_from_status,295,40,1
logging_setup.py,_build_runtime_config,34,39,1
zfs_parser.py,_parse_pool_from_list,255,39,1
formatters.py,format_check_result_json,27,36,1
behaviors.py,emit_greeting,75,35,1
cli_errors.py,handle_generic_error,56,31,1
daemon.py,__init__,71,30,1
alerting.py,_format_capacity_section,503,29,1
cli.py,_print_exception,276,29,1
zfs_client.py,_execute_text_command,426,29,1
cli_errors.py,handle_zfs_not_available,27,27,1
mail.py,to_conf_mail,133,27,1
behaviors.py,raise_intentional_failure,112,26,1
cli.py,apply_traceback_preferences,79,26,1
daemon.py,_log_cycle_completion,285,25,1
models.py,is_critical,204,25,1
alerting.py,_format_error_statistics_section,533,24,1
cli.py,_record_traceback_choice,149,24,1
config.py,get_default_config_path,34,24,1
service_install.py,_run_systemctl,375,24,1
daemon.py,_setup_signal_handlers,182,23,1
service_install.py,_install_service_file,350,23,1
cli.py,_invoke_cli,213,22,1
behaviors.py,noop_main,140,21,1
cli.py,_traceback_limit,253,21,1
models.py,is_healthy,78,21,1
models.py,is_critical,101,21,1
alerting.py,_format_subject,222,19,1
alerting.py,_format_alert_footer,436,19,1
cli.py,snapshot_traceback_state,107,19,1
cli.py,restore_traceback_state,128,19,1
cli.py,_traceback_option_requested,307,19,1
mail.py,_get_string_value,354,19,1
mail.py,_get_bool_value,394,19,1
mail.py,_get_float_value,415,19,1
models.py,critical_issues,440,19,1
alerting.py,__init__,76,18,1
alerting.py,_format_recovery_subject,242,17,1
cli.py,_announce_traceback_choice,175,17,1
cli.py,_no_subcommand_requested,194,17,1
cli.py,cli_main,435,17,1
mail.py,_get_optional_string,375,17,1
models.py,warning_issues,460,17,1
monitor.py,__init__,109,17,1
formatters.py,_build_pool_status_table,109,16,1
models.py,_order_value,151,16,1
zfs_client.py,__init__,58,16,1
models.py,has_issues,424,15,1
cli.py,_current_traceback_mode,237,14,1
models.py,__str__,363,14,1
alert_state.py,__init__,86,6,1
behaviors.py,_target_stream,55,4,1
behaviors.py,_greeting_line,61,4,1
cli.py,_show_help,328,4,1
daemon.py,signal_handler,196,4,1
alert_state.py,_make_key,101,3,1
mail.py,_default_smtp_hosts,35,3,1
